,precision,recall,f1-score,support
blues,0.94613,0.88088,0.91234,319.00000
classical,0.90520,0.96104,0.93228,308.00000
country,0.87365,0.83737,0.85512,289.00000
disco,0.82216,0.93688,0.87578,301.00000
hiphop,0.93537,0.88710,0.91060,310.00000
jazz,0.88421,0.89046,0.88732,283.00000
metal,0.95623,0.93729,0.94667,303.00000
pop,0.94595,0.91418,0.92979,268.00000
reggae,0.85797,0.93968,0.89697,315.00000
rock,0.88278,0.80066,0.83972,301.00000
accuracy,,,0.89890,2997.00000
macro avg,0.90096,0.89855,0.89866,2997.00000
weighted avg,0.90090,0.89890,0.89878,2997.00000
