,precision,recall,f1-score,support
blues,0.68713,0.73668,0.71104,319.00000
classical,0.89776,0.91234,0.90499,308.00000
country,0.60286,0.73010,0.66041,289.00000
disco,0.60526,0.68771,0.64386,301.00000
hiphop,0.72203,0.68710,0.70413,310.00000
jazz,0.78777,0.77385,0.78075,283.00000
metal,0.83444,0.83168,0.83306,303.00000
pop,0.83650,0.82090,0.82863,268.00000
reggae,0.71821,0.66349,0.68977,315.00000
rock,0.61086,0.44850,0.51724,301.00000
accuracy,,,0.72806,2997.00000
macro avg,0.73028,0.72924,0.72739,2997.00000
weighted avg,0.72940,0.72806,0.72636,2997.00000
