,precision,recall,f1-score,support
blues,0.87037,0.73668,0.79796,319.00000
classical,0.90184,0.95455,0.92744,308.00000
country,0.63354,0.70588,0.66776,289.00000
disco,0.70393,0.77409,0.73734,301.00000
hiphop,0.89888,0.77419,0.83189,310.00000
jazz,0.79000,0.83746,0.81304,283.00000
metal,0.80294,0.90099,0.84914,303.00000
pop,0.84249,0.85821,0.85028,268.00000
reggae,0.74085,0.83492,0.78507,315.00000
rock,0.73239,0.51827,0.60700,301.00000
accuracy,,,0.78912,2997.00000
macro avg,0.79172,0.78952,0.78669,2997.00000
weighted avg,0.79263,0.78912,0.78688,2997.00000
