,precision,recall,f1-score,support
blues,0.83175,0.82132,0.82650,319.00000
classical,0.91077,0.96104,0.93523,308.00000
country,0.74593,0.79239,0.76846,289.00000
disco,0.70958,0.78738,0.74646,301.00000
hiphop,0.89399,0.81613,0.85329,310.00000
jazz,0.88971,0.85512,0.87207,283.00000
metal,0.88889,0.89769,0.89327,303.00000
pop,0.86765,0.88060,0.87407,268.00000
reggae,0.87500,0.84444,0.85945,315.00000
rock,0.69892,0.64784,0.67241,301.00000
accuracy,,,0.83016,2997.00000
macro avg,0.83122,0.83039,0.83012,2997.00000
weighted avg,0.83143,0.83016,0.83010,2997.00000
